stud_1,stud_2,sol_1,sol_2
B,F,IOIIIOIOIIKKIIOIIIIIOIIIIKIIIOIINOIINOIINOIINOIINONIIOIIOIIIIKKIIIKKIOIONKIIIOIIIONIIIIONOIIONIIIIKIII,IOIIIOIOIIKKIIOIIIIIOIIIIKIIIOIINOIINOIINOIINOIINONIIOIIOIIIIKKIIIKKIOIONKIIIOIIIONIIIIONOIIONIIIIKIII
F,H,IOIIIOIIOIIKKNIIOIIIIIOIIIIKIIIOIINOIINOIINOIINOIINONIIOIIOIIIIKKIONIIKKIONKIIIOIIIONIIIIONOIIONIIIIKIII,IOIIIOIOIIKKIIOIIIIIOIIIIKIIIOIINOIINOIINOIINOIINONIIOIIOIIIIKKIIIKKIOIONKIIIOIIIONIIIIONOIIONIIIIKIII
B,H,IOIIIOIIOIIKKNIIOIIIIIOIIIIKIIIOIINOIINOIINOIINOIINONIIOIIOIIIIKKIONIIKKIONKIIIOIIIONIIIIONOIIONIIIIKIII,IOIIIOIOIIKKIIOIIIIIOIIIIKIIIOIINOIINOIINOIINOIINONIIOIIOIIIIKKIIIKKIOIONKIIIOIIIONIIIIONOIIONIIIIKIII
F,K,IOIIIOIIOIIKKIIOIIIIIOIIIIKIIIOIINOIINOIINOIINOIINONIIOIIIKKIIONIIKKIIONKIIIOIIIONIIIIONOIIONIIIIKIII,IOIIIOIOIIKKIIOIIIIIOIIIIKIIIOIINOIINOIINOIINOIINONIIOIIOIIIIKKIIIKKIOIONKIIIOIIIONIIIIONOIIONIIIIKIII
B,K,IOIIIOIIOIIKKIIOIIIIIOIIIIKIIIOIINOIINOIINOIINOIINONIIOIIIKKIIONIIKKIIONKIIIOIIIONIIIIONOIIONIIIIKIII,IOIIIOIOIIKKIIOIIIIIOIIIIKIIIOIINOIINOIINOIINOIINONIIOIIOIIIIKKIIIKKIOIONKIIIOIIIONIIIIONOIIONIIIIKIII
H,K,IOIIIOIIOIIKKIIOIIIIIOIIIIKIIIOIINOIINOIINOIINOIINONIIOIIIKKIIONIIKKIIONKIIIOIIIONIIIIONOIIONIIIIKIII,IOIIIOIIOIIKKNIIOIIIIIOIIIIKIIIOIINOIINOIINOIINOIINONIIOIIOIIIIKKIONIIKKIONKIIIOIIIONIIIIONOIIONIIIIKIII
G,N,IOIIOIIOIIIIOIIKIKIONOIOIONIOIIIIIIIONOIIONOIIONOIIONOIIONONIIKKIIOIIIOIONKIONKINOIINIIONOIIIOIONIIONOIIIKIIIINOIIII,KIIOIIOIIOIIIIOIIKIKIONOIOIONIOIIIIIIIONOIIONOIIONOIIONOIIONONIIKKNIIOIIIOIONKIONKINOIINIIONOIIIOIONIIONOIIIKIIIINOIIIIKIOI
E,R,KIKOIIOIIOIKIIIOIIOIIKKIOIIIIIIONOIIONOIIONOIIONOIIONONIIONOIIIIIKIIIKIIIIIOIIKIOI,KIIOIIOIIOIIIIIOIIOIIKIIOIIIIIIONOIIONOIIONOIIONOIIONONIIONOIIIIIKIIIKIIIIIOIIKIOI
A,T,IOIIIOIIOIIKKNIIOIIIIIOIIIIKIIIOIINOIINOIINOIINOIINONIIOIIOIIIIKKNIIIKKNIKIIIOIIIIIIIOIIIIIIKIII,IOIIIOIIOIIKKNIIOIIIIIOIIIIKIIIOIINOIINOIINOIINOIINONIIOIIOIIIIKKNIIIKKNIKIIIOIIIIIIIOIIIIIIKIII
F,S,IOIIIOIOIIKKIIOIIIIIOIIIIKIIIOIINOIINOIINOIINOIINONIIOIIOIIIIKKIIIKKIOIONKIIIOIIIONIIIIONOIIONIIIIKIII,IOIIIOIOIIKKIIOIIIIIOIIIIKIIIOIINOIINOIINOIINOIINONIIOIIOIIIIKKIIIKKIOIONKIIIOIIIONIIIIONOIIONIIIIKIII
B,S,IOIIIOIOIIKKIIOIIIIIOIIIIKIIIOIINOIINOIINOIINOIINONIIOIIOIIIIKKIIIKKIOIONKIIIOIIIONIIIIONOIIONIIIIKIII,IOIIIOIOIIKKIIOIIIIIOIIIIKIIIOIINOIINOIINOIINOIINONIIOIIOIIIIKKIIIKKIOIONKIIIOIIIONIIIIONOIIONIIIIKIII
H,S,IOIIIOIOIIKKIIOIIIIIOIIIIKIIIOIINOIINOIINOIINOIINONIIOIIOIIIIKKIIIKKIOIONKIIIOIIIONIIIIONOIIONIIIIKIII,IOIIIOIIOIIKKNIIOIIIIIOIIIIKIIIOIINOIINOIINOIINOIINONIIOIIOIIIIKKIONIIKKIONKIIIOIIIONIIIIONOIIONIIIIKIII
K,S,IOIIIOIOIIKKIIOIIIIIOIIIIKIIIOIINOIINOIINOIINOIINONIIOIIOIIIIKKIIIKKIOIONKIIIOIIIONIIIIONOIIONIIIIKIII,IOIIIOIIOIIKKIIOIIIIIOIIIIKIIIOIINOIINOIINOIINOIINONIIOIIIKKIIONIIKKIIONKIIIOIIIONIIIIONOIIONIIIIKIII
J,F,IOIIIOIOIIKKIIOIIIIIOIIIIKIIIOIINOIINOIINOIINOIINONIIOIIIKKIIIIKKIIOIONKIIIOIIIONIIIIONOIIONIIIIKIII,IOIIIOIOIIKKIIOIIIIIOIIIIKIIIOIINOIINOIINOIINOIINONIIOIIOIIIIKKIIIKKIOIONKIIIOIIIONIIIIONOIIONIIIIKIII
B,J,IOIIIOIOIIKKIIOIIIIIOIIIIKIIIOIINOIINOIINOIINOIINONIIOIIIKKIIIIKKIIOIONKIIIOIIIONIIIIONOIIONIIIIKIII,IOIIIOIOIIKKIIOIIIIIOIIIIKIIIOIINOIINOIINOIINOIINONIIOIIOIIIIKKIIIKKIOIONKIIIOIIIONIIIIONOIIONIIIIKIII
J,H,IOIIIOIOIIKKIIOIIIIIOIIIIKIIIOIINOIINOIINOIINOIINONIIOIIIKKIIIIKKIIOIONKIIIOIIIONIIIIONOIIONIIIIKIII,IOIIIOIIOIIKKNIIOIIIIIOIIIIKIIIOIINOIINOIINOIINOIINONIIOIIOIIIIKKIONIIKKIONKIIIOIIIONIIIIONOIIONIIIIKIII
J,K,IOIIIOIOIIKKIIOIIIIIOIIIIKIIIOIINOIINOIINOIINOIINONIIOIIIKKIIIIKKIIOIONKIIIOIIIONIIIIONOIIONIIIIKIII,IOIIIOIIOIIKKIIOIIIIIOIIIIKIIIOIINOIINOIINOIINOIINONIIOIIIKKIIONIIKKIIONKIIIOIIIONIIIIONOIIONIIIIKIII
